Difftastic_Mean
5.0
230.0
2.0
3.0
2.0
4.0
27.0
82.0
2.0
16.0
23.0
6.0
2.0
3.0
4.0
11.0
5.0
4.0
6.0
74.0
4.0
3.0
49.0
1.0
""
8.0
22.0
38.0
2.0
9.0
4.0
2.0
44.0
""
1.0
4.0
2.0
7.0
3.0
1.0
6.0
17.0
1.0
6.0
2.0
5.0
1.0
10.0
6.0
5.0
9.0
8.0
1.0
4.0
52.0
2.0
30.0
""
2.0
12.0
4.0
3.0
1.0
53.0
12.0
2.0
16.0
1.0
1.0
1.0
2.0
2.0
2.0
3.0
17.0
82.0
5.0
110.0
44.0
77.0
2.0
2.0
5.0
6.0
2.0
1.0
20.0
84.0
1.0
9.0
""
3.0
18.0
9.0
6.0
6.0
28.0
55.0
2.0
4.0
4.0
7.0
2.0
2.0
6.0
1.0
8.0
2.0
4.0
1.0
""
12.0
5.0
11.0
3.0
3.0
8.0
6.0
95.0
5.0
2.0
5.0
2.0
2.0
9.0
164.0
23.0
2.0
1.0
4.0
79.0
2.0
3.0
5.0
4.0
1.0
217.0
1.0
8.0
4.0
1.0
80.0
11.0
2.0
47.0
2.0
1.0
3.0
1.0
7.0
1.0
169.0
60.0
80.0
5.0
42.0
3.0
2.0
9.0
2.0
8.0
3.0
1.0
6.0
4.0
7.0
3.0
4.0
3.0
1.0
3.0
3.0
28.0
1.0
1.0
16.0
2526.0
3.0
4.0
3.0
5.0
""
2.0
1.0
3.0
2.0
2.0
6.0
9.0
12.0
21.0
1.0
5.0
86.0
3.0
4.0
4.0
2.0
2.0
2.0
2.0
16.0
31.0
1.0
4.0
""
8.0
9.0
48.0
6.0
8.0
6.0
17.0
2.0
31.0
52.0
1.0
7.0
30.0
4.0
59.0
5.0
6.0
14.0
1.0
10.0
7.0
16.0
7.0
9.0
6.0
3.0
1.0
""
8.0
60.0
8.0
5.0
3.0
1.0
5.0
5.0
6.0
4.0
2.0
10.0
4.0
6.0
4.0
11.0
1.0
""
4.0
3.0
2.0
21.0
""
1.0
3.0
24.0
14.0
6.0
7.0
5.0
2.0
4.0
1.0
3.0
""
4.0
4.0
5.0
2.0
3.0
7.0
497.0
12.0
3.0
62.0
41.0
3.0
249.0
3.0
16.0
1.0
1.0
3.0
8.0
7.0
67.0
2.0
3.0
1.0
1.0
2.0
5.0
98.0
6.0
3.0
6.0
7.0
76.0
25.0
4.0
3.0
53.0
7.0
6.0
24.0
17.0
1.0
2.0
8.0
10.0
9.0
5.0
206.0
6.0
9.0
5.0
1.0
3.0
20.0
3.0
7.0
2.0
10.0
5.0
5.0
8.0
1.0
5.0
6.0
3.0
191.0
10.0
16.0
3.0
38.0
""
10.0
5.0
29.0
7.0
5.0
8.0
11.0
1.0
5.0
6.0
76.0
8.0
3.0
101.0
4.0
4.0
8.0
20.0
7.0
1.0
2.0
2.0
36.0
11.0
8.0
9.0
1.0
2.0
2.0
6.0
2.0
19.0
16.0
10.0
6.0
2.0
1.0
28.0
3.0
6.0
39.0
1.0
1.0
1.0
14.0
2.0
11.0
7.0
3.0
2.0
5.0
10.0
9.0
106.0
6.0
43.0
4.0
36.0
1.0
106.0
2.0
2.0
2.0
6.0
1.0
34.0
44.0
7.0
6.0
6.0
18.0
6.0
12.0
11.0
11.0
1.0
5.0
4.0
2.0
56.0
27.0
6.0
2.0
2.0
1.0
4.0
32.0
5.0
3.0
2.0
2.0
32.0
26.0
4.0
4.0
3.0
6.0
3.0
1.0
22.0
5.0
7.0
7.0
6.0
8.0
4.0
7.0
6.0
14.0
1.0
4.0
8.0
4.0
22.0
3.0
203.0
23.0
26.0
10.0
21.0
6.0
4.0
8.0
5.0
21.0
5.0
10.0
10.0
1.0
8.0
2.0
9.0
9.0
8.0
14.0
4.0
8.0
18.0
17.0
7.0
6.0
49.0
4.0
2.0
8.0
8.0
6.0
1.0
8.0
6.0
2.0
8.0
132.0
56.0
7.0
22.0
3.0
1.0
5.0
10.0
3.0
5.0
2.0
3.0
12.0
2.0
1.0
1.0
10.0
12.0
60.0
44.0
2.0
5.0
378.0
6.0
67.0
91.0
16.0
9.0
8.0
6.0
93.0
4.0
4.0
6.0
8.0
11.0
5.0
29.0
4.0
99.0
4.0
4.0
69.0
12.0
65.0
58.0
4.0
4.0
3.0
3.0
1.0
10.0
6.0
1.0
95.0
8.0
9.0
3.0
2.0
12.0
3.0
2.0
4.0
4.0
6.0
7.0
4.0
4.0
11.0
36.0
10.0
17.0
59.0
3.0
62.0
7.0
1.0
14.0
58.0
4.0
10.0
20.0
1.0
4.0
22.0
1.0
2.0
2.0
4.0
2.0
1.0
10.0
3.0
6.0
1.0
53.0
4.0
34.0
12.0
1.0
2.0
5.0
3.0
102.0
1.0
15.0
7.0
3.0
65.0
3.0
27.0
26.0
7.0
1.0
2.0
2.0
88.0
6.0
3.0
23.0
2.0
1.0
1.0
11.0
5.0
45.0
1.0
4.0
8.0
3.0
1.0
2.0
73.0
2.0
6.0
3.0
1.0
1.0
2.0
3.0
18.0
102.0
11.0
10.0
2.0
2.0
1.0
6.0
3.0
4.0
4.0
""
""
1.0
1.0
9.0
6.0
9.0
12.0
1.0
6.0
3.0
14.0
1.0
1.0
4.0
6.0
1.0
4.0
5.0
4.0
2.0
1.0
18.0
6.0
10.0
25.0
45.0
10.0
42.0
8.0
1.0
14.0
16.0
1.0
1.0
5.0
31.0
2.0
