SoliDiffy_Mean
5.0
1.0
2.0
3.0
2.0
4.0
7.0
10.0
6.0
8.0
1.0
6.0
6.0
8.0
1.0
1.0
10.0
4.0
1.0
7.0
2.0
3.0
12.0
5.0
9.0
12.0
16.0
5.0
3.0
14.0
4.0
2.0
4.0
2.0
1.0
4.0
6.0
5.0
3.0
2.0
54.0
15.0
1.0
2.0
3.0
11.0
1.0
14.0
10.0
2.0
22.0
20.0
1.0
2.0
18.0
6.0
2.0
7.0
2.0
8.0
10.0
8.0
1.0
4.0
4.0
17.0
8.0
5.0
1.0
13.0
2.0
2.0
2.0
3.0
1.0
14.0
10.0
7.0
5.0
6.0
2.0
4.0
7.0
6.0
6.0
5.0
3.0
20.0
1.0
22.0
4.0
7.0
9.0
1.0
44.0
3.0
3.0
24.0
6.0
14.0
2.0
4.0
8.0
6.0
1.0
8.0
4.0
2.0
6.0
7.0
6.0
4.0
5.0
13.0
6.0
7.0
7.0
2.0
13.0
9.0
2.0
5.0
6.0
2.0
10.0
19.0
1.0
2.0
1.0
8.0
10.0
2.0
3.0
5.0
14.0
1.0
11.0
5.0
12.0
6.0
1.0
8.0
25.0
3.0
16.0
2.0
1.0
3.0
1.0
11.0
5.0
2.0
6.0
5.0
10.0
7.0
3.0
4.0
13.0
2.0
46.0
3.0
2.0
6.0
8.0
7.0
8.0
4.0
3.0
1.0
3.0
3.0
12.0
1.0
1.0
8.0
14.0
7.0
2.0
3.0
6.0
4.0
6.0
5.0
6.0
2.0
2.0
10.0
10.0
2.0
12.0
3.0
5.0
8.0
3.0
16.0
8.0
2.0
1.0
2.0
8.0
1.0
2.0
1.0
8.0
1.0
5.0
4.0
3.0
16.0
4.0
6.0
1.0
2.0
6.0
14.0
5.0
18.0
1.0
2.0
25.0
5.0
10.0
24.0
1.0
10.0
7.0
3.0
18.0
18.0
21.0
3.0
2.0
16.0
4.0
5.0
8.0
9.0
6.0
8.0
1.0
21.0
10.0
6.0
4.0
10.0
8.0
3.0
4.0
1.0
22.0
20.0
9.0
3.0
2.0
4.0
8.0
1.0
31.0
2.0
11.0
12.0
11.0
10.0
1.0
9.0
5.0
4.0
1.0
12.0
8.0
5.0
5.0
3.0
11.0
4.0
2.0
3.0
16.0
4.0
3.0
12.0
6.0
8.0
7.0
1.0
12.0
12.0
7.0
26.0
6.0
7.0
1.0
1.0
2.0
5.0
4.0
10.0
3.0
9.0
17.0
20.0
1.0
18.0
6.0
9.0
84.0
3.0
3.0
4.0
18.0
2.0
40.0
21.0
9.0
1.0
13.0
6.0
14.0
7.0
1.0
3.0
12.0
2.0
11.0
2.0
1.0
5.0
10.0
8.0
5.0
10.0
6.0
4.0
9.0
5.0
11.0
3.0
21.0
11.0
1.0
15.0
7.0
14.0
15.0
16.0
12.0
3.0
9.0
7.0
11.0
9.0
3.0
16.0
8.0
8.0
2.0
14.0
14.0
1.0
16.0
4.0
9.0
3.0
12.0
11.0
1.0
2.0
5.0
6.0
6.0
2.0
12.0
9.0
42.0
7.0
1.0
8.0
1.0
6.0
4.0
1.0
1.0
1.0
6.0
2.0
1.0
1.0
3.0
2.0
5.0
10.0
9.0
16.0
10.0
2.0
1.0
3.0
2.0
10.0
2.0
2.0
3.0
6.0
2.0
8.0
9.0
9.0
11.0
20.0
7.0
6.0
2.0
1.0
1.0
1.0
10.0
2.0
1.0
9.0
4.0
6.0
4.0
2.0
1.0
4.0
9.0
10.0
7.0
2.0
2.0
17.0
2.0
6.0
2.0
22.0
6.0
7.0
1.0
2.0
6.0
6.0
10.0
6.0
8.0
8.0
7.0
3.0
10.0
1.0
4.0
13.0
8.0
10.0
8.0
10.0
7.0
4.0
14.0
1.0
10.0
4.0
8.0
15.0
3.0
1.0
12.0
11.0
1.0
4.0
2.0
9.0
22.0
13.0
11.0
5.0
4.0
21.0
4.0
14.0
1.0
5.0
4.0
3.0
20.0
3.0
3.0
8.0
12.0
14.0
4.0
8.0
10.0
22.0
8.0
2.0
3.0
1.0
10.0
10.0
3.0
9.0
2.0
1.0
6.0
2.0
1.0
1.0
4.0
58.0
""
6.0
2.0
8.0
5.0
12.0
3.0
1.0
75.0
9.0
8.0
1.0
8.0
4.0
8.0
8.0
7.0
5.0
9.0
4.0
2.0
38.0
4.0
8.0
7.0
2.0
6.0
20.0
4.0
2.0
3.0
7.0
1.0
12.0
10.0
5.0
31.0
8.0
6.0
3.0
6.0
10.0
3.0
2.0
4.0
4.0
6.0
7.0
4.0
8.0
13.0
5.0
2.0
1.0
7.0
3.0
10.0
11.0
5.0
10.0
6.0
4.0
9.0
20.0
1.0
4.0
5.0
5.0
2.0
2.0
4.0
1.0
1.0
7.0
4.0
10.0
1.0
20.0
2.0
5.0
2.0
35.0
22.0
6.0
22.0
7.0
1.0
7.0
39.0
3.0
20.0
3.0
2.0
3.0
7.0
5.0
1.0
2.0
24.0
10.0
3.0
7.0
2.0
1.0
1.0
2.0
5.0
1.0
1.0
4.0
7.0
30.0
1.0
2.0
7.0
2.0
11.0
3.0
1.0
1.0
2.0
5.0
30.0
8.0
8.0
1.0
1.0
